
卓依婷40首经典歌,#genre#
安东阳+司徒兰芳-你开心所以我快乐,http://em.21dtv.com/songs/60121584.mkv
安东阳+樊桐舟-万水千山总是爱,http://em.21dtv.com/songs/60099201.mkv
安东阳+张怡诺-甘心情愿爱着你,http://em.21dtv.com/songs/60117426.mkv
安东阳-爱在秋天的童话,http://em.21dtv.com/songs/60087679.mkv
安东阳-爱你忘了我自己,http://em.21dtv.com/songs/60087678.mkv

陈瑞,#genre#
藕断丝连.陈瑞,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2-PE4gUogNfRyAM.mp4
陈瑞-一生的等待,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1583215&response=res&format=mp4&type=convert_url
秋裤大叔、陈瑞 - 怎能忘了你是谁 - KTV版,https://cfss.cc/api/kg/EB9F45219831363A24C816A17ADE60E4.mp4
陈瑞、王峰、何鹏 - 杯中酒 情人旧 (DJ何鹏版) - KTV版,https://cfss.cc/api/kg/3193D511ECD3CB8A0B9C82A81F4A6066.mp4
奋斗 - 陈瑞、王峰 - 杯中酒 情人旧 (DJ何鹏版) - 饭制版,https://cfss.cc/api/kg/E0418BFEEF1258BE3B746C389182C39C.mp4
陈瑞、刚辉 - 白狐,https://cfss.cc/api/kg/036824E18A7AE27CE46595106CDAB6CD.mp4
陈瑞、刚辉 - 白狐与书生 - KTV版,https://cfss.cc/api/kg/08D3024727E69A8CFA738278063D9205.mp4
许强、陈瑞 - 梦里守望,https://cfss.cc/api/kg/F1A33EA2CCBD6457846061FC37797557.mp4
陈瑞、许强 - 鱼水情歌 - KTV版,https://cfss.cc/api/kg/033BAAA0FEFB558E5A2671462CF32106.mp4
陈瑞-爱得真伤的深,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1218839&response=res&format=mp4&type=convert_url
陈瑞-爱的痕迹,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1218815&response=res&format=mp4&type=convert_url
陈瑞-别思,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_3429064&response=res&format=mp4&type=convert_url
陈瑞-曾经是我的最爱的女人,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_486357&response=res&format=mp4&type=convert_url
陈瑞-分手了别来打扰我,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_5835684&response=res&format=mp4&type=convert_url
陈瑞-父亲,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_4247454&response=res&format=mp4&type=convert_url
陈瑞-红尘永相伴,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_506435&response=res&format=mp4&type=convert_url
陈瑞-男人酒女人泪,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_40090112&response=res&format=mp4&type=convert_url
陈瑞-三生三世,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_6449820&response=res&format=mp4&type=convert_url
陈瑞-天长地久,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1583220&response=res&format=mp4&type=convert_url
陈瑞-心中的牵挂,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1583211&response=res&format=mp4&type=convert_url
陈瑞-一辈子的真爱,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_28470656&response=res&format=mp4&type=convert_url
陈瑞-一生的等待,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1583215&response=res&format=mp4&type=convert_url
陈瑞-有谁知道我在等你,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1583218&response=res&format=mp4&type=convert_url
陈瑞-鱼和水的故事,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_353501&response=res&format=mp4&type=convert_url
陈瑞-烛光里的妈妈,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1024266&response=res&format=mp4&type=convert_url
陈瑞-隐居,http://em.21dtv.com/songs/60146815.mkv
陈瑞-有多少爱可以辜负,http://em.21dtv.com/songs/60146814.mkv
陈瑞-醉后之夜,http://em.21dtv.com/songs/60144328.mkv
陈瑞-退路,http://em.21dtv.com/songs/60144327.mkv
陈瑞-让爱结束在最美的时候,http://em.21dtv.com/songs/60144326.mkv
陈瑞-相伴有你,http://em.21dtv.com/songs/60144325.mkv
陈瑞-猜心,http://em.21dtv.com/songs/60144324.mkv
陈瑞-流星泪,http://em.21dtv.com/songs/60144323.mkv
陈瑞-泪洒爱琴海,http://em.21dtv.com/songs/60144322.mkv
陈瑞-没有人比你更爱我,http://em.21dtv.com/songs/60144321.mkv
陈瑞-没有,http://em.21dtv.com/songs/60144320.mkv
陈瑞-母亲的期待,http://em.21dtv.com/songs/60144319.mkv
陈瑞-月光下等待,http://em.21dtv.com/songs/60144318.mkv
陈瑞-曾有一个人,http://em.21dtv.com/songs/60144317.mkv
陈瑞-抽烟的女人,http://em.21dtv.com/songs/60144316.mkv
陈瑞-我不再是你最疼爱的人,http://em.21dtv.com/songs/60144315.mkv
陈瑞-想你总在多年以后,http://em.21dtv.com/songs/60144314.mkv
陈瑞-情人节的玫瑰,http://em.21dtv.com/songs/60144313.mkv
陈瑞-恋人泪,http://em.21dtv.com/songs/60144312.mkv
陈瑞-心中的牵挂,http://em.21dtv.com/songs/60144311.mkv
陈瑞-尘缘,http://em.21dtv.com/songs/60144310.mkv
陈瑞-太阳的眼泪太阳雨,http://em.21dtv.com/songs/60144309.mkv
陈瑞-你是我生命的传奇,http://em.21dtv.com/songs/60144308.mkv
陈瑞-今夜你会在哪里,http://em.21dtv.com/songs/60144307.mkv
陈瑞-五百年情缘,http://em.21dtv.com/songs/60144306.mkv
陈瑞-一个人的情人节,http://em.21dtv.com/songs/60144305.mkv
赵鑫+陈瑞-旧情缘,http://em.21dtv.com/songs/60144300.mkv
张津涤+陈瑞-千年孤影,http://em.21dtv.com/songs/60144269.mkv
冷漠+陈瑞-心照不宣,http://em.21dtv.com/songs/60144251.mkv
陈瑞-时间久了就忘了,http://em.21dtv.com/songs/60144135.mkv
陈瑞-你情我怨,http://em.21dtv.com/songs/60144134.mkv
陈瑞-不是我不温柔,http://em.21dtv.com/songs/60144133.mkv
张津涤+陈瑞-一吻成诗,http://em.21dtv.com/songs/60143405.mkv
陈瑞-恨你爱我又放手,http://em.21dtv.com/songs/60139236.mkv
陈瑞-怀爱不遇,http://em.21dtv.com/songs/60139235.mkv
陈瑞+赵鑫-不是萍水不相逢,http://em.21dtv.com/songs/60138215.mkv
陈瑞+张津涤-只爱一个你,http://em.21dtv.com/songs/60138214.mkv
陈瑞-秋日私语,http://em.21dtv.com/songs/60138213.mkv
陈瑞-终于放了手,http://em.21dtv.com/songs/60137028.mkv
陈瑞-不是情人不必情深,http://em.21dtv.com/songs/60137027.mkv
陈瑞-像我这样的人你能懂几分,http://em.21dtv.com/songs/60098884.mkv
陈瑞-太懂事的女人没人心疼,http://em.21dtv.com/songs/60135933.mkv
陈瑞-站在灌木丛旁的女人,http://em.21dtv.com/songs/60113070.mkv
陈瑞-在你之前我已有了他,http://em.21dtv.com/songs/60081614.mkv
陈瑞-有多少爱能为你停留,http://em.21dtv.com/songs/60126398.mkv
陈瑞-相思的债,http://em.21dtv.com/songs/60127564.mkv
陈瑞-我的掌心有你的泪水,http://em.21dtv.com/songs/60081297.mkv
陈瑞-我不再是你疼爱的人,http://em.21dtv.com/songs/60044921.mkv
陈瑞-我不怪你也不会恨你,http://em.21dtv.com/songs/60099584.mkv
陈瑞-世上没有我这样的人,http://em.21dtv.com/songs/60039313.mkv
陈瑞+黑龙-思念你却牵不到你的手,http://em.21dtv.com/songs/60071152.mkv
陈瑞-你能为我唱一首歌吗,http://em.21dtv.com/songs/60120094.mkv
陈瑞-离开你并非是我愿意,http://em.21dtv.com/songs/60026740.mkv
陈瑞-长长的路 慢慢地走,http://em.21dtv.com/songs/60122245.mkv
陈瑞-有谁知道我在等你,http://em.21dtv.com/songs/60106414.mkv
陈瑞-心中刻上你的名字,http://em.21dtv.com/songs/60086047.mkv
陈瑞-我的心中有一艘船,http://em.21dtv.com/songs/60098886.mkv
陈瑞-我等了你很久很久,http://em.21dtv.com/songs/60081298.mkv
陈瑞-晚安说给最爱的人,http://em.21dtv.com/songs/60122244.mkv
陈瑞-是不是心里有别人,http://em.21dtv.com/songs/60085723.mkv
陈瑞-如果一切能够重来,http://em.21dtv.com/songs/60083732.mkv
陈瑞-你是我生命的传奇,http://em.21dtv.com/songs/60032155.mkv
陈瑞-女人心,http://em.21dtv.com/songs/60127563.mkv
陈瑞-没有人比你更爱我,http://em.21dtv.com/songs/60028862.mkv
陈瑞-离开你并非是愿意,http://em.21dtv.com/songs/60088908.mkv
陈瑞-分手了别来打扰我,http://em.21dtv.com/songs/60106409.mkv
陈瑞-曾经是我最爱的人,http://em.21dtv.com/songs/60012171.mkv
陈瑞-错过了缘分错过你,http://em.21dtv.com/songs/60107335.mkv
陈瑞-长长的路慢慢地走,http://em.21dtv.com/songs/60119021.mkv
冷漠&陈瑞-不要再说你还爱我,http://em.21dtv.com/songs/60106624.mkv
陈瑞-别用下辈子安慰我,http://em.21dtv.com/songs/60010754.mkv
陈瑞-一世情缘一世愁,http://em.21dtv.com/songs/60053665.mkv
贺一航+陈瑞-遗憾也是种温暖,http://em.21dtv.com/songs/60135764.mkv
陈瑞-下辈子不做女人,http://em.21dtv.com/songs/60048247.mkv
陈瑞-我是一首流行歌,http://em.21dtv.com/songs/60100599.mkv
陈瑞-误入城市的蝴蝶,http://em.21dtv.com/songs/60124647.mkv
陈瑞-我拿什么报答你,http://em.21dtv.com/songs/60045997.mkv
陈瑞+张津涤-谁说梅花没有泪,http://em.21dtv.com/songs/60110647.mkv
陈瑞+田丰-让我伤心的玫瑰,http://em.21dtv.com/songs/60036171.mkv
陈瑞-如果你不再回来,http://em.21dtv.com/songs/60069773.mkv
陈瑞-前世欠你的情泪,http://em.21dtv.com/songs/60121089.mkv
陈瑞-青花开在红尘里,http://em.21dtv.com/songs/60134414.mkv
陈瑞-情歌好听却难唱,http://em.21dtv.com/songs/60106412.mkv
陈瑞-没有礼物的生日,http://em.21dtv.com/songs/60094749.mkv
陈瑞-没人心疼的玫瑰,http://em.21dtv.com/songs/60128548.mkv
陈瑞-恋上香烟的女人,http://em.21dtv.com/songs/60122243.mkv
陈瑞-梨花白,http://em.21dtv.com/songs/60112360.mkv
陈瑞-今夜你会在哪里,http://em.21dtv.com/songs/60081296.mkv
陈瑞-给情人的摇篮曲,http://em.21dtv.com/songs/60075508.mkv
陈瑞-等你一起来看海,http://em.21dtv.com/songs/60126399.mkv
陈瑞-穿越时空的爱情,http://em.21dtv.com/songs/60095357.mkv
陈瑞-不要对爱说抱歉,http://em.21dtv.com/songs/60011537.mkv
陈瑞-不想回家的女人,http://em.21dtv.com/songs/60107333.mkv
陈瑞-别给我太多理由,http://em.21dtv.com/songs/60061054.mkv
陈瑞-不被打扰的玫瑰,http://em.21dtv.com/songs/60122241.mkv
陈瑞-爱是我醒时的泪,http://em.21dtv.com/songs/60134413.mkv
陈瑞-爱你爱到心里面,http://em.21dtv.com/songs/60065783.mkv
陈瑞-最后一个情人,http://em.21dtv.com/songs/60060272.mkv
陈瑞-最后一次流泪,http://em.21dtv.com/songs/60086292.mkv
陈瑞-一首歌的时间,http://em.21dtv.com/songs/60116348.mkv
陈瑞-有你不再孤单,http://em.21dtv.com/songs/60087071.mkv
陈瑞-鱼和水的故事,http://em.21dtv.com/songs/60106420.mkv
陈瑞-鱼和水的故事,http://em.21dtv.com/songs/60055526.mkv
陈瑞-一辈子的真爱,http://em.21dtv.com/songs/60061809.mkv
